platform,video_id,channel,channel_id,title,date,views,likes,comments,duration,url,search_query,tags,description_snippet,channel_subscribers,title_clean,engagement_score,like_ratio,comment_ratio,is_viral,title_length,title_word_count,has_question,has_exclamation,title_caps_ratio,creator_tier,month,quarter,year_quarter
YouTube,q6Szq9yHB3w,The Iced Coffee Hour,UCMSYZVlQmyG8_2MkIKzg0kw,When a Homeschooler Goes To Public High School,2023-06-21,3423756,161993,1406,PT39S,https://youtube.com/watch?v=q6Szq9yHB3w,summer programs for high school students,graham stephan|graham stephan podcast|iced coffee podcast|iced coffee hour|investing podcast,"Full Vid: https://youtu.be/OLkmJ8hVaa8

NEW: Join us at http://www.icedcoffeehour.club for premium content - Enjoy! 

Add us on Instagram: 
https://www.instagram.com/jlsselby
https://www.instagram.com",1570000,When a Homeschooler Goes To Public High School,5071806,0.04731441142417859,0.00041066010545143987,True,46,8,False,False,0.15217391304347827,Mega,6,2,2023Q2
YouTube,O_4ws18TTMc,Elise Pham,UCQgwF5Od06EKCvhEh1tmQDw,how she got into Stanford with a 3.0 GPA and NO extracurriculars,2024-03-10,3400241,228558,851,PT38S,https://youtube.com/watch?v=O_4ws18TTMc,best extracurriculars for college,,"DM me “ESSAY” on Instagram (@UltimateIvyLeagueGuide) and I’ll send you the exact essay outline that got my student got into Stanford with zero extracurriculars…

#studygram #studymotivation #studytips",714000,how she got into Stanford with a 3.0 GPA and NO extracurriculars,5702841,0.0672181765939532,0.00025027637746853827,True,64,12,False,False,0.09375,Macro,3,1,2024Q1
YouTube,KvdCO__8wHY,Mahad Khan,UCQWnytHKeJEHXh85rC6tW2A,Doing THIS will Get You AUTO-REJECTED from College,2023-09-13,3289114,183246,797,PT1M,https://youtube.com/watch?v=KvdCO__8wHY,common app essay that got me accepted,College|College admissons|student|high school|AP classes,I'll edit your college essay! 📝 https://nextadmit.com,365000,Doing THIS will Get You AUTO-REJECTED from College,5137514,0.05571287586869899,0.00024231449563621085,True,50,8,False,False,0.4,Macro,9,3,2023Q3
YouTube,TwtPVmSjTNA,Noelle Cheney ,UCJEr90Yulz5DsCH68mpuusg,A student used chatGPT to write their essay,2025-05-01,2870868,117907,1866,PT1M53S,https://youtube.com/watch?v=TwtPVmSjTNA,writing college essays tips,,,1400000,A student used chatGPT to write their essay,4087258,0.041070157178943786,0.0006499776374253362,True,43,8,False,False,0.09302325581395349,Mega,5,2,2025Q2
YouTube,vYDM2efXJHE,Roya,UCjhebDbxJHNM0w2O1qkJA-g,college US vs France #usa #american #france #french #cultureshock #livingabroad #college #admissions,2024-04-11,2648193,209287,6839,PT1M,https://youtube.com/watch?v=vYDM2efXJHE,college admissions process explained,,,405000,college US vs France #usa #american #france #french #cultureshock #livingabroad #college #admissions,4877843,0.07903011600740581,0.002582515700328488,True,100,12,False,False,0.03,Macro,4,2,2024Q2
YouTube,H1w5rWiIclc,Colby Martel,UCk8aLmjQ-IKVZCuGJks0rkw,Columbia Student RANKS the Ivy Leagues...,2023-03-12,2598487,136478,733,PT29S,https://youtube.com/watch?v=H1w5rWiIclc,college admissions process explained,college,"I asked a Columbia student to RANK the 8 Ivy League Universities! Harvard, Princeton, University of Pennsylvania (Penn), Brown, Cornell, Dartmouth College, and Yale",741000,Columbia Student RANKS the Ivy Leagues...,3977927,0.052522102284906565,0.00028208722999191455,True,41,6,False,False,0.21951219512195122,Macro,3,1,2023Q1
YouTube,JhVEkNzUG24,Mahad Khan,UCQWnytHKeJEHXh85rC6tW2A,The WORST College Essay Ever Written,2024-12-28,2539518,85038,554,PT38S,https://youtube.com/watch?v=JhVEkNzUG24,writing college essays tips,College|College admissons|student|high school|AP classes,Top 5 Essay Tips Guide: beacons.ai/mahadthementor,365000,The WORST College Essay Ever Written,3400978,0.03348588196657791,0.0002181516334989553,True,36,6,False,False,0.2777777777777778,Macro,12,4,2024Q4
YouTube,uXn85kgphuA,Apna College,UCBwmMxybNva6P_5VmxjzwqA,BITS Pilani College Review | In Short,2023-02-11,2392258,130986,1539,PT1M,https://youtube.com/watch?v=uXn85kgphuA,college admissions process explained,,,7500000,BITS Pilani College Review | In Short,3732898,0.05475412769024077,0.000643325260068103,True,37,7,False,False,0.24324324324324326,Mega,2,1,2023Q1
YouTube,NwkvhFYfakE,The Chens,UCsGxLCkpyTG9sD7c-j6IIpw,Best Extracurriculars for College Apps,2025-07-29,2368049,55075,738,PT49S,https://youtube.com/watch?v=NwkvhFYfakE,how to build college resume high school,,,162000,Best Extracurriculars for College Apps,2933559,0.02325754239038128,0.00031164895658831386,True,38,5,False,False,0.10526315789473684,Macro,7,3,2025Q3
YouTube,yx8PrF0HJhM,The Chens,UCsGxLCkpyTG9sD7c-j6IIpw,What Are the Best College Essay Topics?,2025-09-19,2347137,59341,686,PT36S,https://youtube.com/watch?v=yx8PrF0HJhM,writing college essays tips,,,162000,What Are the Best College Essay Topics?,2954267,0.02528229072269748,0.0002922709667139157,True,39,7,True,False,0.15384615384615385,Macro,9,3,2025Q3
YouTube,7K0OyXOkW6I,Sarah Wu,UC1thnvmLI1wFI_ZENTZXwQA,Asking Harvard students what schools rejected them ☠️,2024-05-31,2345474,53671,481,PT34S,https://youtube.com/watch?v=7K0OyXOkW6I,how to choose colleges to apply to,,,111000,Asking Harvard students what schools rejected them ☠️,2891804,0.02288279469309828,0.00020507581836336707,True,53,8,False,False,0.03773584905660377,Macro,5,2,2024Q2
YouTube,7iwzqy4FbQo,REAT Easy Education,UCst8tcy15nM8jWrRfiOrBzw,"Application Writing,Formal Letter or Application,Application লেখার নিয়ম,How to write an Application",2023-09-21,2333752,10101,203,PT2S,https://youtube.com/watch?v=7iwzqy4FbQo,writing college essays tips,"application lekhar niyom,application lekher niyom,application,hsc application lekhar niyom,application lekhar niyom 2023,formal letter lekher niyom,application lekher niyom english,letter lekhar niyom,application lekhar niyom hsc,ssc application lekhar niyom,hsc application lekhar niyom 2023,application lekhar niyom hsc 2023,application writing,formal letter or application writing,application লেখার নিয়ম,how to write an application,application letter","Application Writing,Formal Letter or Application,Application লেখার নিয়ম,How to write an Application

keyword:
application lekhar niyom,application lekher niyom,application,hsc application lekhar niyom",147000,"Application Writing,Formal Letter or Application,Application লেখার নিয়ম,How to write an Application",2438822,0.004328223393059759,8.69843925147145e-05,True,100,11,False,False,0.08,Macro,9,3,2023Q3
YouTube,eb26cwKC-AA,Mentor Gyan,UCRyLE0AO3OxGt0c5w4GtBpw,How to write an essay by UPSC topper Neha byadwal #motivation #cgpsctopper #upsc #ias,2024-04-24,2286396,86071,340,PT50S,https://youtube.com/watch?v=eb26cwKC-AA,writing college essays tips,,,59100,How to write an essay by UPSC topper Neha byadwal #motivation #cgpsctopper #upsc #ias,3153906,0.03764483492798273,0.00014870564854032285,True,85,14,False,False,0.07058823529411765,Mid,4,2,2024Q2
YouTube,3ldPwDXGjJw,Ashton Herndon,UCWNMLFfMYNk7E-8JOCdKpEg,"How MIT students got into MIT | GPA, SAT/ACT, Clubs #college #collegeadmissions #mit #university",2024-09-10,2093820,58547,533,PT56S,https://youtube.com/watch?v=3ldPwDXGjJw,how to build college resume high school,,,108000,"How MIT students got into MIT | GPA, SAT/ACT, Clubs #college #collegeadmissions #mit #university",2689950,0.027961811426006056,0.00025455865356143316,True,96,14,False,False,0.17708333333333334,Macro,9,3,2024Q3
YouTube,tH5TzdodL94,Elise Pham,UCQgwF5Od06EKCvhEh1tmQDw,“How do I write a standout hook for my college essay?” 🪝 (Ep. 4),2025-08-30,1951752,92395,280,PT1M25S,https://youtube.com/watch?v=tH5TzdodL94,writing college essays tips,,,714000,“How do I write a standout hook for my college essay?” 🪝 (Ep. 4),2881302,0.04733951854538896,0.00014346084953416213,True,64,14,True,False,0.046875,Macro,8,3,2025Q3
YouTube,9x6bCIYl9jY,Bout Creation,UCkd9FK2mCp3VK6xzGuaxGaQ,Asking MLNC freshers their CUET score | Motilal Nehru College Cutoff 2024-25 | delhi University #du,2024-09-01,1901094,32336,292,PT38S,https://youtube.com/watch?v=9x6bCIYl9jY,how to get into college 2024,,,3730,Asking MLNC freshers their CUET score | Motilal Nehru College Cutoff 2024-25 | delhi University #du,2230294,0.01700915367677769,0.0001535957716977698,True,99,16,False,False,0.1414141414141414,Micro,9,3,2024Q3
YouTube,Pzyd1X8Txwo,Khan Squared,UCw6gnJDEWnYz12JLdNqL9ZQ,The Stats that Got Us Into HARVARD &amp; MIT,2024-02-21,1711310,53783,623,PT1M,https://youtube.com/watch?v=Pzyd1X8Txwo,best extracurriculars for college,College|College admissons|student|high school|AP classes,We'll edit your college essay! 📝 https://nextadmit.com,45300,The Stats that Got Us Into HARVARD &amp; MIT,2261600,0.03142797038526041,0.00036404859435169547,True,44,9,False,False,0.3409090909090909,Mid,2,1,2024Q1
YouTube,_ejSiZrJGts,ESPN College Football,UCzRWWsFjqHk1an4OnVPsl9g,1 hour of HIGHLIGHTS from the 2024-25 college football season 🎥 | ESPN College Football,2025-01-26,1651504,9103,256,PT1H11S,https://youtube.com/watch?v=_ejSiZrJGts,how to get into college 2024,,"Check out some of the best highlights from the 2024-25 college football season. 

✔️Subscribe to ESPN+ http://espnplus.com/youtube
✔️ Get the ESPN App: http://www.espn.com/espn/apps/espn
✔️Subscribe t",1330000,1 hour of HIGHLIGHTS from the 2024-25 college football season 🎥 | ESPN College Football,1747654,0.005511945475154768,0.00015501022098644629,False,87,15,False,False,0.1839080459770115,Mega,1,1,2025Q1
YouTube,wP-JJQ0H8cU,Mahad Khan,UCQWnytHKeJEHXh85rC6tW2A,APPLYING to 200+ Colleges?!,2023-09-09,1621948,75187,342,PT1M1S,https://youtube.com/watch?v=wP-JJQ0H8cU,college admissions process explained,College|College admissons|student|high school|AP classes,I'll edit your college essay! 📝 https://nextadmit.com,365000,APPLYING to 200+ Colleges?!,2380658,0.0463559867517331,0.00021085756140147525,True,27,4,True,True,0.3333333333333333,Macro,9,3,2023Q3
YouTube,KFPmEUQ62mM,Niche: The College Search App,UCdp-NoQfCh8lbfrnY-adb_g,Asking MIT Students: Which Colleges Rejected You?,2024-10-03,1612887,24058,399,PT18S,https://youtube.com/watch?v=KFPmEUQ62mM,how to choose colleges to apply to,,"Only applying to MIT though!!

#MIT #MassachusettsInstituteOfTechnology #CollegeRejection #CollegeDecision #CollegeStudent 

💚 Follow Niche Social 💚
TikTok:   / nichesocial  
Instagram:   / nichesocia",12700,Asking MIT Students: Which Colleges Rejected You?,1861447,0.014916110056067165,0.000247382488667836,False,49,7,True,False,0.1836734693877551,Mid,10,4,2024Q4
YouTube,rx5CK1eSnN8,Elise Pham,UCQgwF5Od06EKCvhEh1tmQDw,what extracurriculars should I do to stand out? (ep. 2 of mastering highschool),2025-07-11,1551733,50950,101,PT52S,https://youtube.com/watch?v=rx5CK1eSnN8,best extracurriculars for college,,,714000,what extracurriculars should I do to stand out? (ep. 2 of mastering highschool),2063253,0.0328342569243549,6.508851716113532e-05,False,79,13,True,False,0.012658227848101266,Macro,7,3,2025Q3
YouTube,UVoxU7nEs2Y,SuperGrads CUET by Toprankers,UCdgYewLnA5K0FrTVwidpk8w,Minimum Score Required In CUET For Delhi University | CUET 2024 Safe Score for DU | DU Cut Off 2024,2024-03-22,1546406,52486,575,PT48S,https://youtube.com/watch?v=UVoxU7nEs2Y,college admissions process explained,minimum score required in cuet for university of delhi|cuet delhi university|du expected cut off 2024|cuet 2024 cutoff|cuet du,"Minimum Score Required In CUET For Delhi University | CUET 2024 Safe Score for DU | DU Cut Off 2024
■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■
#cuet2024 #duadmission #ducutoff #cuetdu2024 #cuetsupergrads
",95200,Minimum Score Required In CUET For Delhi University | CUET 2024 Safe Score for DU | DU Cut Off 2024,2082766,0.03394063396029245,0.00037182990754045187,False,99,20,False,False,0.23232323232323232,Mid,3,1,2024Q1
YouTube,fTfkvTJTu9M,Elise Pham,UCQgwF5Od06EKCvhEh1tmQDw,Rating Popular Extracurriculars 1-10,2026-02-23,1512170,30896,436,PT45S,https://youtube.com/watch?v=fTfkvTJTu9M,best extracurriculars for college,,"Rating the most common extracurriculars 🌟

This is based on years of direct conversations with admissions officers, thousands of real application files I’ve analyzed, and repeated patterns I’ve seen w",714000,Rating Popular Extracurriculars 1-10,1829850,0.020431565234067597,0.0002883273705998664,False,36,4,False,False,0.08333333333333333,Macro,2,1,2026Q1
YouTube,KFlIL4jYnaw,Jam Painting,UCI_7_l6lKlfVhY_S5_HxJMg,#Volunteer College Application #Big Circle Jam Painting Tutorial Master Original #Magnetic Wanhe Pl,2025-07-08,1462098,8453,10,PT1M10S,https://youtube.com/watch?v=KFlIL4jYnaw,volunteer opportunities for college apps,jam painting|fruit jam art|fruit jam paintings|creative jam art|artistic jam designs,"Welcome to 【Jam Painting】 Channel! 🎨🍓

Here, we turn jam into artwork, showcasing how to create imaginative paintings using different types of jam. From simple fruit designs to intricate patterns, our",125000,#Volunteer College Application #Big Circle Jam Painting Tutorial Master Original #Magnetic Wanhe Pl,1546828,0.00578141820862897,6.83948681962495e-06,False,99,13,False,False,0.13131313131313133,Macro,7,3,2025Q3
YouTube,mm-1r4vc0Ac,Vizuara,UCdEov4L0bpJ_h6W3sJxkfUA,AI High School Researcher Program | Ideal Summer Program to build strong research profile,2026-03-30,1421735,49,0,PT4M37S,https://youtube.com/watch?v=mm-1r4vc0Ac,summer programs for high school students,,Check our program details here: https://ai-highschool-research.vizuara.ai/,198000,AI High School Researcher Program | Ideal Summer Program to build strong research profile,1422225,3.446493193175944e-05,0.0,False,89,14,False,False,0.10112359550561797,Macro,3,1,2026Q1
YouTube,f5qBVf2OCxU,Colton Denning,UCHOlKIq41F6jBsQ1FaPrh4Q,College Football 2024 HITS OF THE YEAR,2025-01-31,1411595,6389,200,PT1H13M45S,https://youtube.com/watch?v=f5qBVf2OCxU,how to get into college 2024,,"The best hits from the 2024/25 college football season.

Like the video, subscribe to the channel, and subscribe to my website https://www.2stripescpd.com/ for more awesome college football content!",22400,College Football 2024 HITS OF THE YEAR,1479485,0.004526085739889983,0.00014168369822789115,False,38,7,False,False,0.39473684210526316,Mid,1,1,2025Q1
YouTube,-7-9g2BU1C4,CarterPCs,UCi7wDE2ZTiR5QYYrUY5WhtA,How to avoid AI detectors #carterpcs #tech #techtok #techfacts #ai #chatgpt,2024-11-08,1349593,70534,1130,PT32S,https://youtube.com/watch?v=-7-9g2BU1C4,writing college essays tips,,How to avoid AI detectors #carterpcs #tech #techtok #techfacts #ai #chatgpt,2270000,How to avoid AI detectors #carterpcs #tech #techtok #techfacts #ai #chatgpt,2077533,0.05226316378345175,0.0008372894643051646,False,75,11,False,False,0.04,Mega,11,4,2024Q4
YouTube,qzkVexdNfCM,Wheels,UCi-INxdmFSrTrT95xU0sBpg,"Georgia vs #23 Miss St (BENCHES EMPTIED, 11 EJECTIONS!) | 2024 College Baseball Highlights",2024-04-07,1258654,5280,947,PT14M40S,https://youtube.com/watch?v=qzkVexdNfCM,how to get into college 2024,wheels|college baseball|college softball|baseball|softball,"Georgia Baseball and Mississippi State Baseball played an incredibly wild, crazy, wacky game that included the benches clearing and 11 ejections.

Covering sports in a unique way since 2018. 

If you’",845000,"Georgia vs #23 Miss St (BENCHES EMPTIED, 11 EJECTIONS!) | 2024 College Baseball Highlights",1330394,0.004194957470440646,0.0007523910463081991,False,90,14,False,True,0.32222222222222224,Macro,4,2,2024Q2
YouTube,di3_aVJy7Kw,Apna College,UCBwmMxybNva6P_5VmxjzwqA,How to find Internships ?,2023-04-11,1187238,104477,224,PT1M,https://youtube.com/watch?v=di3_aVJy7Kw,how to choose colleges to apply to,C++|C++ coding|C++ full course|C++ placement course|how to code,"#shorts
🔥Alpha 4.0 Placement Batch (Java+DSA)  : https://www.apnacollege.in/course/alpha-batch-4
------------------------------------------------------
Link for International Students:  https://buy.st",7500000,How to find Internships ?,2236488,0.08800004716830155,0.00018867320621476064,True,25,5,True,False,0.08,Mega,4,2,2023Q2
YouTube,6dStKafWZRY,CUET Adda,UC4h5zkgRfnFLjFZtts1N6iA,Asking CUET Score in Hansraj College 💯✅   #cuet #hansraj,2023-06-21,1178307,29119,433,PT56S,https://youtube.com/watch?v=6dStKafWZRY,how to get into college 2024,cuet 2023|cuet 2023 preparation|cuet 2023 preparation strategy|cuet 2023 strategy|cuet 2023 syllabus,"Start Your CUET Preparation With CUET 2024 DELTA BATCH
Join NOW -

👉 CUET 2024 DELTA SCIENCE BATCH :
  https://dl.adda247.com/H85v

👉CUET 2024 DELTA COMMERCE BATCH :
  https://dl.adda247.com/EYju

👉 C",1340000,Asking CUET Score in Hansraj College 💯✅ #cuet #hansraj,1478157,0.024712574906200168,0.00036747638773256886,False,54,9,False,False,0.14814814814814814,Mega,6,2,2023Q2
YouTube,b6053PjQuTU,Ivy League Roadmap,UCgEBGhzAd2KrERqw0AM8ifw,"649 WORDS IS A 🚩IN COLLEGE ESSAYS!!! usually, if your college essay ends up at exactly 649 words,",2024-08-31,1174127,62778,374,PT1M,https://youtube.com/watch?v=b6053PjQuTU,common app essay that got me accepted,,"649 WORDS IS A 🚩IN COLLEGE ESSAYS!!! usually, if your college essay ends up at exactly 649 words, it means that you were too light with your editing. There are probably ideas in your essay that could ",8870,"649 WORDS IS A 🚩IN COLLEGE ESSAYS!!! usually, if your college essay ends up at exactly 649 words,",1809387,0.05346781055201013,0.0003185345367238808,False,97,18,False,True,0.23711340206185566,Micro,8,3,2024Q3
YouTube,fWGihKlaCqs,Sports Betting Tik Tok,UCK8KR4vpgbq1CBmrotzzxyg,Cheating in college basketball Michigan player travels on purpose for the Over to hit vs Ohio State,2023-02-05,1171117,7847,730,PT22S,https://youtube.com/watch?v=fWGihKlaCqs,how to get into college 2024,,,149000,Cheating in college basketball Michigan player travels on purpose for the Over to hit vs Ohio State,1264187,0.0067004406903836255,0.0006233365240193763,False,99,17,False,False,0.050505050505050504,Macro,2,1,2023Q1
YouTube,P6v5Phq3mgA,Tom's Study Tips,UCQhjfWLehfL9L9ZUCrHgPow,If Berkeley were honest #berkeley #college #collegeadmissions,2023-12-07,1170193,38615,666,PT47S,https://youtube.com/watch?v=P6v5Phq3mgA,college admissions process explained,,,24100,If Berkeley were honest #berkeley #college #collegeadmissions,1569663,0.03299883010751218,0.0005691368859666739,False,61,7,False,False,0.03278688524590164,Mid,12,4,2023Q4
YouTube,SRzxMLdNWyM,Limmytalks,UCNJS6U4h4oo-0q6OsMpu4Ag,mid grades but crazy activities college app??? #applyingtocollege #ivyleague #collegeadmissions,2024-05-24,1138958,32443,171,PT1M,https://youtube.com/watch?v=SRzxMLdNWyM,best extracurriculars for college,College|college admission|college admission tips|applying to usa|university,,78600,mid grades but crazy activities college app??? #applyingtocollege #ivyleague #collegeadmissions,1466808,0.028484808043843582,0.00015013723069682991,False,95,10,True,False,0.0,Mid,5,2,2024Q2
YouTube,lCTh5iCTBec,Apna College,UCBwmMxybNva6P_5VmxjzwqA,How to Score More in College Exams? 5 Mistakes to avoid,2023-03-21,1109541,41258,1120,PT9M43S,https://youtube.com/watch?v=lCTh5iCTBec,college application mistakes to avoid,C++|C++ coding|C++ full course|C++ placement course|how to code,"Join the Telegram Channel🔥 : https://telegram.me/+k4rdgTPwmm5kMGVl
------------------------------------------------------
🔥Alpha 3.0 Placement Batch (Java+DSA)  : https://www.apnacollege.in/course/alp",7500000,How to Score More in College Exams? 5 Mistakes to avoid,1544521,0.03718474576423945,0.001009426420474773,False,55,11,True,False,0.10909090909090909,Mega,3,1,2023Q1
